Legacy_Node_Name,New_Dataset_Column
Solution_Bayesian Network_Mentions,Solution_BAYESIAN_NETWORK_Papers
Solution_BEHAVIOR BASED DETECTION_Mentions,Solution_BEHAVIOR_BASED_DETECTION_Papers
Solution_FORMAL VERIFICATION_Mentions,Solution_FORMAL_VERIFICATION_Papers
Solution_SPLIT MANUFACTURING_Mentions,Solution_SPLIT_MANUFACTURING_Papers
Solution_VULNERABILITY MANAGEMENT_Mentions,Solution_VULNERABILITY_MANAGEMENT_Papers
Solution_FILE INTEGRITY MONITORING_Mentions,Solution_FILE_INTEGRITY_MONITORING_Papers
Solution_VPN_Mentions,Solution_VPN_Papers
Solution_PRIVACY PRESERVING_Mentions,Solution_PRIVACY_PRESERVING_Papers
Solution_SECURE BOOT_Mentions,Solution_SECURE_BOOT_Papers
Solution_MERKLE SIGNATURE_Mentions,Solution_MERKLE_SIGNATURE_Papers
Solution_LIVENESS DETECTION_Mentions,Solution_LIVENESS_DETECTION_Papers
Solution_3D FACE RECONSTRUCTION_Mentions,Solution_3D_FACE_RECONSTRUCTION_Papers
Solution_BIOMETRICS_Mentions,Solution_BIOMETRICS_Papers
Solution_DIGITAL WATERMARK_Mentions,Solution_DIGITAL_WATERMARK_Papers
Solution_APPLICATION WHITELISTING_Mentions,Solution_APPLICATION_WHITELISTING_Papers
Solution_DATA BACKUPS_Mentions,Solution_DATA_BACKUPS_Papers
Solution_HIDDEN MARKOV MODEL_Mentions,Solution_HIDDEN_MARKOV_MODEL_Papers
Solution_PATCH MANAGEMENT_Mentions,Solution_PATCH_MANAGEMENT_Papers
Solution_DATA AUGMENTATION_Mentions,Solution_DATA_AUGMENTATION_Papers
Solution_DIMENSIONALITY REDUCTION_Mentions,Solution_DIMENSIONALITY_REDUCTION_Papers
Solution_DEFENSIVE DISTILLATION_Mentions,Solution_DEFENSIVE_DISTILLATION_Papers
Solution_RRAM_Mentions,Solution_RRAM_Papers
Solution_SPATIAL SMOOTHING_Mentions,Solution_SPATIAL_SMOOTHING_Papers
Solution_NOISE INJECTION_Mentions,Solution_NOISE_INJECTION_Papers
Solution_TAINT ANALYSIS_Mentions,Solution_TAINT_ANALYSIS_Papers
Solution_NETWORK SEGMENTATION_Mentions,Solution_NETWORK_SEGMENTATION_Papers
Solution_USER BEHAVIOR ANALYTICS_Mentions,Solution_USER_BEHAVIOR_ANALYTICS_Papers
Solution_DECEPTION TECHNOLOGY_Mentions,Solution_DECEPTION_TECHNOLOGY_Papers
Solution_RISK ASSESSMENT_Mentions,Solution_RISK_ASSESSMENT_Papers
Solution_DYNAMIC RESOURCE MANAGEMENT_Mentions,Solution_DYNAMIC_RESOURCE_MANAGEMENT_Papers
Solution_SANDBOXING_Mentions,Solution_SANDBOXING_Papers
Solution_DARKNET MONITORING_Mentions,Solution_DARKNET_MONITORING_Papers
Solution_VIRTUAL KEYBOARDS_Mentions,Solution_VIRTUAL_KEYBOARDS_Papers
Solution_CODE SIGNING_Mentions,Solution_CODE_SIGNING_Papers
Solution_PUBLIC KEY INFRASTRUCTURE_Mentions,Solution_PUBLIC_KEY_INFRASTRUCTURE_Papers
Solution_MUTUAL AUTHENTICATION_Mentions,Solution_MUTUAL_AUTHENTICATION_Papers
Solution_ONE TIME PASSWORD_Mentions,Solution_ONE_TIME_PASSWORD_Papers
Solution_DYNAMIC BINARY INSTRUMENTATION_Mentions,Solution_DYNAMIC_BINARY_INSTRUMENTATION_Papers
Solution_PASSWORD HASHING_Mentions,Solution_PASSWORD_HASHING_Papers
Solution_DNSSEC_Mentions,Solution_DNSSEC_Papers
Solution_CERTIFICATE PINNING_Mentions,Solution_CERTIFICATE_PINNING_Papers
Solution_SECURE SIMPLE PAIRING_Mentions,Solution_SECURE_SIMPLE_PAIRING_Papers
Solution_VULNERABILITY ASSESSMENT_Mentions,Solution_VULNERABILITY_ASSESSMENT_Papers
Solution_SIEM_Mentions,Solution_SIEM_Papers
Solution_STANDARDIZED COMMUNICATION_Mentions,Solution_STANDARDIZED_COMMUNICATION_Papers
Solution_Control Flow Integrity_Mentions,Solution_CONTROL_FLOW_INTEGRITY_Papers
Solution_VULNERABILITY SCANNER_Mentions,Solution_VULNERABILITY_SCANNER_Papers
Solution_PASSWORD STRENGTH METERS_Mentions,Solution_PASSWORD_STRENGTH_METERS_Papers
Solution_PASSWORD MANAGEMENT_Mentions,Solution_PASSWORD_MANAGEMENT_Papers
Solution_PASSWORD POLICY_Mentions,Solution_PASSWORD_POLICY_Papers
Solution_GRAPHICAL AUTHENTICATION_Mentions,Solution_GRAPHICAL_AUTHENTICATION_Papers
Solution_DATA LOSS PREVENTION_Mentions,Solution_DATA_LOSS_PREVENTION_Papers
Solution_DATA LEAKAGE DETECTION/PREVENTION_Mentions,Solution_DATA_LEAKAGE_DETECTION/PREVENTION_Papers
Solution_ACTIVITY MONITORING_Mentions,Solution_ACTIVITY_MONITORING_Papers
Solution_MOVING TARGET DEFENSE_Mentions,Solution_MOVING_TARGET_DEFENSE_Papers
Solution_KEYSTROKE DYNAMICS_Mentions,Solution_KEYSTROKE_DYNAMICS_Papers
Solution_ATTACK TREE_Mentions,Solution_ATTACK_TREE_Papers
Solution_DISTRIBUTED LEDGERS_Mentions,Solution_DISTRIBUTED_LEDGERS_Papers
Solution_SOURCE IDENTIFICATION_Mentions,Solution_SOURCE_IDENTIFICATION_Papers
Solution_IMAGE RECOGNITION_Mentions,Solution_IMAGE_RECOGNITION_Papers
Solution_HYPERGAME_Mentions,Solution_HYPERGAME_Papers
