Date,Papers_DDoS,Papers_Phishing,Papers_Ransomware,Papers_Password_Attack,Papers_SQL_Injection,Papers_Account_Hijacking,Papers_Defacement,Papers_Trojan,Papers_Vulnerability,Papers_Zero_day,Papers_Advanced_Persistent_Threat,Papers_XSS,Papers_Malware,Papers_Data_Breach,Papers_Disinformation/Misinformation,Papers_Targeted_Attack,Papers_Adware,Papers_Brute_Force_Attack,Papers_Malvertising,Papers_Backdoor,Papers_Botnet,Papers_Cryptojacking,Papers_Worms,Papers_Spyware,Papers_MITM,Papers_DNS_Spoofing,Papers_Pegasus_Spyware,Papers_CoolWebSearch_Spyware,Papers_Gator_GAIN_Spyware,Papers_180search_Assistant_Spyware,Papers_Transponder_vx2_Spyware,Papers_WannaCry_Ransomware,Papers_Colonial_Pipeline_Ransomware,Papers_Cryptolocker,Papers_Dropper,Papers_Wiper,Papers_Pharming,Papers_Insider_Threat,Papers_Drive_by,Papers_Rootkit,Papers_Adversarial_Attack,Papers_Data_Poisoning,Papers_Deepfake,Papers_Deeplocker,Papers_Supply_Chain,Papers_IoT_Device_Attack,Papers_Keylogger,Papers_DNS_Tunneling,Papers_Session_Hijacking,Papers_URL_manipulation,Papers_Unknown_Attack
2015-04,39,13,1,21,3,0,0,6,14,2,2,3,109,27,4,4,0,7,0,0,11,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,2,0,0,0,0,2,1,0,1,2,1
2015-05,26,3,0,12,1,1,0,2,4,1,3,1,63,25,4,3,1,6,1,1,4,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,0,0,0,2,0,0,0,0,2,1
2015-06,35,7,1,14,1,0,0,8,6,2,1,1,94,29,2,1,0,9,0,2,10,0,2,1,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,6,3,0,0,2,3,0
2015-07,46,10,0,19,4,0,1,5,14,3,7,1,139,35,0,11,0,12,0,3,6,0,4,2,13,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,8,1,0,0,2,4,1,0,0,2,2
2015-08,53,14,0,24,3,0,0,3,15,2,5,4,145,46,1,7,0,10,0,0,12,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,3,0,0,0,4,4,2,0,1,5,2
2015-09,61,18,1,25,9,0,0,11,19,5,8,6,168,56,5,4,0,15,0,1,17,0,3,1,17,1,0,0,0,0,0,0,0,0,0,0,1,3,3,1,9,0,0,0,2,4,1,2,3,6,1
2015-10,60,17,2,22,5,0,0,8,26,6,3,6,164,50,3,6,0,12,0,1,11,0,4,2,9,1,0,0,0,0,0,0,0,0,1,0,0,14,2,4,20,0,0,0,3,4,0,0,1,1,0
2015-11,48,9,1,27,3,0,0,4,10,2,2,3,93,23,1,7,0,2,1,0,11,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,4,0,1,0,2,0
2015-12,78,27,0,35,3,1,1,5,16,9,4,2,208,47,1,6,0,15,1,0,23,0,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,11,5,1,8,0,0,0,4,5,1,0,3,5,2
2016-01,71,22,3,34,11,0,1,9,21,4,10,2,217,44,3,7,1,11,0,3,24,0,8,3,13,2,0,0,0,0,0,0,0,1,0,0,1,8,4,7,6,0,0,0,6,8,2,1,2,2,0
2016-02,27,5,0,17,3,0,0,5,10,3,1,1,110,34,1,1,0,8,0,1,9,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,2,0,0,0,3,7,0,0,1,5,1
2016-03,65,21,1,23,10,1,0,7,15,5,4,12,199,39,4,8,0,13,2,0,13,0,5,3,12,0,0,0,0,0,0,0,0,1,0,1,1,8,1,2,10,0,0,0,2,6,1,0,0,2,2
2016-04,29,9,2,17,5,0,0,8,9,1,3,4,111,30,3,3,0,5,0,0,9,0,4,2,11,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,6,0,0,0,2,2,1,1,1,3,1
2016-05,31,10,1,18,6,0,0,10,19,4,2,4,140,32,2,6,0,3,0,1,14,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,8,0,0,0,1,10,0,0,0,4,1
2016-06,50,19,3,14,7,0,0,15,20,5,2,3,160,48,4,13,0,5,0,1,11,0,4,3,14,0,0,0,0,0,0,0,0,2,0,0,0,6,0,1,7,0,0,0,5,6,1,0,1,5,1
2016-07,59,23,1,28,11,0,0,7,25,7,5,7,165,61,4,5,0,14,0,0,17,0,6,0,18,1,0,0,0,0,0,0,0,0,0,0,0,8,1,2,17,0,0,0,3,19,1,0,0,5,4
2016-08,56,28,2,16,5,0,0,5,19,5,7,4,161,58,1,10,0,6,1,1,13,0,5,1,11,0,0,0,0,0,0,0,0,0,0,0,2,15,2,0,9,0,0,0,3,8,0,1,3,7,1
2016-09,66,10,6,24,3,0,0,7,23,3,7,4,159,36,1,11,2,8,0,3,17,0,5,3,9,1,0,0,0,0,0,0,0,0,0,0,0,12,2,2,5,0,0,0,2,8,0,0,2,5,1
2016-10,75,30,6,33,15,1,0,6,26,5,6,13,189,59,5,4,1,10,0,3,11,0,3,1,12,1,0,0,0,0,0,0,0,0,0,0,0,8,2,1,9,0,0,0,2,7,2,0,1,5,1
2016-11,78,19,5,26,3,0,0,8,13,6,9,3,159,38,2,4,0,18,0,1,11,0,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,4,0,0,0,2,14,1,0,1,3,0
2016-12,75,20,10,45,10,0,0,7,36,3,8,3,210,54,2,10,1,11,0,0,18,0,6,2,22,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,15,0,0,0,2,25,1,0,1,2,2
2017-01,72,26,8,43,9,1,0,23,24,3,9,7,278,60,3,8,1,13,2,2,24,0,16,3,15,0,0,0,0,0,0,1,0,2,0,0,1,8,1,1,8,0,0,0,14,24,1,0,2,4,6
2017-02,51,18,2,22,6,1,0,7,13,5,6,3,130,37,2,4,0,8,0,3,18,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,8,0,0,0,1,13,1,0,0,2,2
2017-03,56,18,5,23,6,0,1,7,27,6,7,6,196,37,2,9,0,8,0,0,16,0,4,2,14,1,0,0,0,0,0,0,0,0,0,0,1,6,2,4,6,0,0,0,3,20,2,0,1,8,4
2017-04,48,9,7,18,2,0,0,9,21,2,1,2,122,33,3,3,0,15,0,0,5,0,3,2,9,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,9,0,0,0,1,15,1,0,2,5,0
2017-05,35,17,2,21,6,0,0,9,11,1,3,1,110,38,2,5,0,11,1,1,8,0,6,0,11,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,6,0,0,0,9,16,2,0,0,0,0
2017-06,107,16,11,35,4,0,0,14,35,6,5,2,182,42,3,1,0,15,0,2,16,0,4,2,24,1,0,0,0,0,0,2,0,0,0,0,0,20,2,2,20,1,0,0,4,26,1,0,1,6,0
2017-07,186,51,22,55,16,0,1,12,53,20,14,11,427,104,9,5,3,23,1,5,47,0,16,2,54,3,0,0,0,0,0,3,0,1,0,0,1,11,5,3,18,0,0,0,5,71,3,0,3,12,5
2017-08,56,22,6,25,2,0,0,1,14,3,2,1,134,40,2,1,0,11,0,2,17,0,3,0,11,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,11,0,0,0,1,14,0,0,0,4,3
2017-09,53,18,8,31,3,0,0,11,23,5,5,1,188,68,3,11,1,9,0,1,13,0,6,3,15,1,0,0,0,0,0,1,0,0,0,0,1,5,4,2,4,0,0,0,5,25,0,2,1,10,5
2017-10,109,31,18,49,9,0,1,9,37,8,14,6,251,69,4,12,1,14,0,5,25,0,6,2,22,1,0,0,0,0,0,4,0,1,0,0,1,15,4,4,21,0,0,0,7,42,3,0,3,8,0
2017-11,76,21,5,31,5,3,1,10,26,9,5,9,183,36,7,5,0,9,1,0,21,0,4,0,14,1,0,0,0,0,0,2,0,0,0,0,0,5,0,3,17,3,0,0,3,29,0,0,3,6,10
2017-12,101,14,15,30,5,1,1,14,25,3,7,4,243,58,6,5,2,15,0,3,25,0,4,0,17,1,0,0,0,0,0,2,0,0,0,0,1,9,2,1,32,0,0,0,5,37,0,0,0,9,6
2018-01,53,16,8,13,5,0,0,9,21,2,5,3,198,39,7,10,1,12,0,2,20,1,2,1,12,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,11,0,0,0,7,20,1,0,1,3,1
2018-02,28,5,4,10,1,0,0,6,5,2,5,2,98,20,3,1,0,2,0,0,9,0,4,0,10,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,10,0,0,0,4,10,0,0,0,1,1
2018-03,42,11,11,24,4,0,0,8,21,8,5,4,176,47,1,3,1,8,0,1,10,0,2,0,19,0,0,0,0,0,0,5,0,0,0,0,0,17,2,1,11,0,0,0,1,27,0,0,0,2,2
2018-04,37,21,8,18,1,0,1,8,11,5,2,5,137,40,10,5,1,6,0,0,18,1,5,0,8,0,0,0,0,0,0,2,0,0,0,0,0,4,2,2,7,1,0,0,2,17,1,0,0,3,1
2018-05,57,23,13,29,1,0,2,9,23,6,5,1,188,40,5,1,2,6,1,1,15,0,7,1,15,0,0,0,0,0,0,3,0,1,0,1,0,9,0,4,14,0,0,0,3,42,1,0,1,4,4
2018-06,104,22,11,30,6,0,1,10,22,4,6,3,209,60,7,8,0,14,0,0,24,0,3,2,20,2,0,0,0,0,0,2,0,0,0,0,0,8,1,0,25,2,0,0,5,52,0,0,1,6,4
2018-07,197,35,18,49,3,1,1,27,62,10,13,5,377,102,20,10,3,18,0,4,51,2,6,4,26,1,0,0,0,0,0,2,0,0,0,0,1,18,0,0,76,2,3,0,5,105,4,0,2,7,1
2018-08,91,17,15,23,5,0,0,8,29,5,2,6,181,51,5,9,0,11,0,3,9,1,3,1,13,0,0,0,0,0,0,3,0,0,0,0,1,15,1,4,38,0,0,0,3,51,0,0,0,3,3
2018-09,75,26,9,26,2,0,0,6,24,3,4,4,190,61,9,4,2,12,1,2,17,0,2,0,16,0,0,0,0,0,0,1,0,0,0,0,0,6,1,2,16,1,0,0,4,43,1,0,1,4,2
2018-10,82,29,9,33,9,0,1,14,25,7,7,5,248,76,16,5,1,19,0,2,30,4,4,1,24,2,0,0,0,0,0,0,0,1,1,0,0,6,2,2,40,2,0,0,7,55,0,0,1,6,7
2018-11,91,28,20,31,8,1,0,13,23,3,7,7,235,51,5,10,1,18,0,2,50,0,3,0,16,2,0,0,0,0,0,4,0,2,0,0,0,7,1,0,31,1,0,0,7,56,0,0,0,3,0
2018-12,138,34,24,37,6,1,2,17,45,11,14,5,311,63,16,10,1,21,1,5,34,1,6,2,28,1,0,0,0,0,0,5,0,0,0,0,1,6,2,2,42,0,0,0,15,64,1,0,3,3,7
2019-01,80,18,20,16,5,0,1,12,21,4,8,7,242,82,10,9,0,10,0,6,27,1,1,2,9,0,0,0,0,0,0,7,0,0,0,0,0,13,1,1,16,0,0,0,5,46,0,2,1,5,0
2019-02,31,7,3,17,4,0,0,2,18,2,3,3,87,35,5,4,2,9,0,1,7,0,1,3,9,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11,0,0,0,4,25,1,0,1,1,0
2019-03,78,29,12,18,3,0,1,5,21,3,4,5,177,41,8,1,1,14,1,3,24,0,6,2,18,0,0,0,0,0,0,1,0,0,0,0,0,10,1,1,25,0,0,0,7,54,0,1,0,4,3
2019-04,98,21,13,21,8,0,0,10,30,6,10,6,166,57,12,6,1,13,0,2,16,2,4,1,25,1,0,0,0,0,0,7,0,1,0,0,0,8,1,4,23,0,0,0,9,62,2,0,1,5,4
2019-05,108,44,15,34,6,2,0,24,40,6,13,4,261,75,15,8,0,9,1,3,46,1,6,1,22,2,0,0,0,0,0,2,0,0,0,0,0,8,1,3,57,3,2,0,15,75,2,0,0,4,4
2019-06,92,35,14,39,5,2,2,11,46,6,3,2,249,68,11,16,0,14,0,4,34,1,2,1,21,0,0,0,0,0,0,6,0,0,0,0,1,6,0,2,109,3,4,0,5,82,0,0,1,12,7
2019-07,101,32,18,31,11,1,0,14,28,8,10,6,234,72,14,6,1,19,0,2,23,3,2,2,17,0,0,0,0,0,0,3,0,0,0,0,0,10,1,1,51,4,1,0,7,65,2,0,0,6,3
2019-08,84,23,13,19,9,2,0,14,31,12,4,3,198,63,11,8,1,12,0,4,34,4,3,0,20,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,33,2,1,0,5,49,0,0,0,7,6
2019-09,80,26,10,30,8,2,0,8,24,9,9,2,186,50,9,7,1,16,0,3,26,3,4,3,20,1,0,0,0,0,0,1,0,1,0,0,0,6,1,0,35,0,1,0,1,50,0,0,1,7,5
2019-10,128,31,13,33,6,2,3,12,33,16,10,4,279,62,18,12,1,19,1,5,25,2,5,2,33,0,0,0,0,0,0,7,0,1,0,0,0,9,2,0,86,2,3,0,5,90,0,2,2,10,4
2019-11,119,40,15,30,12,0,0,13,38,11,11,6,283,76,17,6,1,16,1,4,36,7,8,1,24,2,0,0,0,0,0,1,0,0,0,0,2,12,3,2,86,3,5,0,5,77,0,2,1,3,5
2019-12,121,34,29,28,10,2,1,15,35,10,9,3,318,69,20,9,4,21,1,7,34,2,4,1,22,0,0,0,0,0,0,5,0,0,0,0,0,15,1,1,75,5,2,0,6,70,1,1,1,9,9
2020-01,77,40,11,18,7,0,0,6,28,7,9,4,226,68,32,8,1,18,0,2,26,1,5,3,13,1,0,0,0,0,0,7,0,3,0,0,1,11,2,1,49,2,5,0,12,60,0,1,1,10,4
2020-02,63,17,12,13,4,0,0,7,18,5,6,3,148,47,16,6,1,10,1,2,17,0,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,35,0,4,1,2,52,1,2,1,8,2
2020-03,61,21,7,16,6,0,0,11,25,9,6,3,196,51,25,7,0,11,0,5,13,3,5,3,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,54,5,3,0,5,69,0,0,0,8,6
2020-04,60,19,6,22,3,0,1,10,20,2,7,2,183,58,39,7,0,7,0,3,26,5,2,3,12,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,47,4,8,0,3,51,0,0,4,6,2
2020-05,65,14,13,15,5,0,0,11,22,4,5,4,175,51,23,9,0,8,0,6,18,2,4,1,17,1,0,0,0,0,0,1,0,0,0,0,1,4,1,0,72,5,2,0,4,53,0,0,0,4,2
2020-06,126,34,22,29,11,0,0,9,35,13,11,3,250,92,28,11,0,15,0,4,40,4,2,2,32,0,0,0,0,0,0,2,0,0,0,0,0,11,1,1,75,2,10,0,16,102,0,1,0,5,5
2020-07,110,33,14,25,8,1,0,15,30,8,12,6,235,71,49,7,1,18,0,8,24,1,2,2,21,0,0,0,0,0,0,2,0,1,0,0,0,5,2,1,112,5,13,0,5,87,0,4,0,6,5
2020-08,83,29,11,20,4,0,0,10,28,4,7,4,190,52,29,4,2,11,1,2,27,1,3,2,20,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,79,1,7,0,8,65,0,0,0,5,3
2020-09,107,37,13,18,9,0,0,19,33,8,10,5,272,76,38,9,2,15,1,11,21,3,5,1,28,1,0,0,0,0,0,1,0,0,0,0,0,8,2,3,66,3,7,0,5,71,1,1,1,7,2
2020-10,150,45,16,37,8,1,0,11,51,18,9,10,353,103,53,9,1,18,1,13,55,1,5,1,39,2,0,0,0,0,0,2,0,0,0,0,0,9,0,2,123,4,21,0,10,112,0,1,2,9,6
2020-11,117,38,17,20,6,0,0,18,38,7,4,3,300,72,42,7,0,15,1,8,33,3,6,1,26,1,0,0,0,0,0,2,0,0,0,1,0,13,1,0,134,3,9,0,9,92,0,2,2,12,4
2020-12,129,48,28,42,11,3,0,12,38,18,17,6,415,114,71,8,0,13,0,10,46,3,6,1,25,0,0,0,0,0,0,1,0,1,0,0,0,13,0,2,130,6,17,0,12,107,2,4,1,10,7
2021-01,84,39,24,28,7,1,0,14,24,4,7,4,255,87,75,8,3,9,0,5,25,2,9,5,18,1,0,0,0,0,0,3,1,0,1,0,1,12,0,0,83,3,13,0,13,87,1,0,3,8,1
2021-02,80,16,6,15,7,0,0,11,15,5,6,3,148,54,22,7,0,7,0,3,15,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,1,4,0,11,53,0,1,0,2,2
2021-03,88,31,12,20,8,0,0,9,20,5,7,5,213,61,43,7,0,7,0,4,18,0,5,4,15,0,1,0,0,0,0,2,0,0,0,0,0,6,0,0,73,4,12,0,6,78,0,0,1,6,5
2021-04,90,29,13,26,6,0,0,12,20,6,2,9,221,69,43,6,1,13,0,8,11,1,1,1,27,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,69,4,13,0,8,75,0,1,2,5,4
2021-05,86,37,18,32,7,0,0,19,36,8,10,6,285,80,39,11,0,14,0,9,31,0,5,1,24,2,0,0,0,0,0,3,0,0,0,0,0,11,0,0,98,6,12,0,13,68,2,1,0,7,6
